OBS,GDP,PR,M1,RS
1/1/1963,150.525,0.2400048,157.08,2.909
4/1/1963,152.725,0.2406919,158.056,2.941333
7/1/1963,155.925,0.2411553,160.609,3.280667
10/1/1963,158.15,0.242878,162.127,3.499333
1/1/1964,162.325,0.2434845,162.775,3.538
4/1/1964,164.575,0.2440408,163.881,3.481333
7/1/1964,167.3,0.2451641,169.933,3.504
10/1/1964,168.8,0.2464503,170.735,3.685
1/1/1965,173.925,0.247677,170.826,3.899667
4/1/1965,177.05,0.2488143,170.263,3.879
7/1/1965,181.275,0.250138,176.387,3.859667
10/1/1965,186.925,0.2517085,179.169,4.158667
1/1/1966,192.6,0.2532212,181.081,4.630667
4/1/1966,195.025,0.2553101,179.56,4.597333
7/1/1966,198.375,0.257923,182.93,5.047667
10/1/1966,201.8,0.2601857,183.996,5.246
1/1/1967,204.35,0.261384,186.783,4.533667
4/1/1967,205.8,0.2630452,186.526,3.657333
7/1/1967,209.725,0.2659628,194.862,4.344666
10/1/1967,213.65,0.2689113,198.199,4.787333
1/1/1968,220.125,0.2720784,199.984,5.064667
4/1/1968,226.275,0.2749309,200.433,5.51
7/1/1968,230.05,0.2774946,207.782,5.226333
10/1/1968,234.2,0.28122,214.601,5.580667
1/1/1969,240,0.2838641,213.884,6.137667
4/1/1969,243.525,0.2873282,214.503,6.24
7/1/1969,248.4,0.2914039,217.824,7.046667
10/1/1969,250.275,0.2950834,222.05,7.317667
1/1/1970,253.5,0.2994242,227.102,7.262667
4/1/1970,257.375,0.303544,229.998,6.752333
7/1/1970,261.925,0.3060765,241.588,6.374667
10/1/1970,262.6682,0.3099878,232.299,5.358333
1/1/1971,274.15,0.3149882,241.707,3.863333
4/1/1971,279.425,0.3192608,247.938,4.206
7/1/1971,284.325,0.3227482,255.48,5.050333
10/1/1971,287.475,0.3254004,247.219,4.234334
1/1/1972,297.55,0.33018,258.248,3.435333
4/1/1972,306.075,0.3319775,262.17,3.748333
7/1/1972,311.975,0.3348988,268.685,4.241333
10/1/1972,321.65,0.3394365,272.027,4.851333
1/1/1973,334.375,0.343636,276.028,5.639667
4/1/1973,342.35,0.3494259,284.329,6.608333
7/1/1973,347.85,0.3561209,284.264,8.388333
10/1/1973,358.075,0.362874,290.152,7.461667
1/1/1974,361.6,0.3701031,292.508,7.600333
4/1/1974,370.625,0.3779381,298.638,8.268
7/1/1974,377.975,0.3896649,298.16,8.286333
10/1/1974,386.65,0.4012869,301.727,7.336
1/1/1975,390.1,0.4105344,304.272,5.873333
4/1/1975,399.45,0.4166145,318.883,5.400667
7/1/1975,414.33,0.4241925,317.538,6.336667
10/1/1975,427.1275,0.4322606,318.358,5.684333
1/1/1976,441.8,0.4369282,326.259,4.953333
4/1/1976,449.525,0.4415549,332.608,5.168667
7/1/1976,457.575,0.4476703,332.776,5.168667
10/1/1976,470.05,0.4556514,340.475,4.698
1/1/1977,483.575,0.4631612,350.858,4.624
4/1/1977,501.275,0.4706697,356.054,4.828667
7/1/1977,515.8,0.4765446,363.883,5.472
10/1/1977,526.15,0.4862417,369.6,6.137
1/1/1978,536.975,0.4942814,376.675,6.408
4/1/1978,568.425,0.5040681,385.527,6.481
7/1/1978,583.475,0.5127084,392.633,7.315333
10/1/1978,602.55,0.5235354,398.625,8.680333
1/1/1979,616.15,0.5351195,403.099,9.357667
4/1/1979,630.55,0.5464512,414.629,9.372334
7/1/1979,648.225,0.5582252,428.914,9.631333
10/1/1979,662.55,0.5691766,434.93,11.80367
1/1/1980,680.55,0.581791,434.828,13.45867
4/1/1980,679.4825,0.5951759,443.631,10.04933
7/1/1980,695.85,0.610087,454.817,9.235333
10/1/1980,727.7755,0.6257877,455.754,13.70967
1/1/1981,760.075,0.6415218,465.187,14.369
4/1/1981,767.9264,0.6539997,469.466,14.829
7/1/1981,791.925,0.6664633,472.355,15.08733
10/1/1981,796.4,0.6786825,483.649,12.02267
1/1/1982,794.7,0.6886631,483.34,12.895
4/1/1982,807.875,0.6972103,482.867,12.359
7/1/1982,814.775,0.7066412,498.758,9.705334
10/1/1982,824.75,0.7143321,514.621,7.935
1/1/1983,840.225,0.7207592,533.901,8.081333
4/1/1983,867.3,0.7282727,546.222,8.420667
7/1/1983,890.825,0.7348526,556.1,9.186666
10/1/1983,916.125,0.7419218,560.767,8.793333
1/1/1984,947.75,0.7501583,586.727,9.133333
4/1/1984,969.9,0.75583,591.182,9.843333
7/1/1984,985.55,0.7624702,587.694,10.34333
10/1/1984,999.15,0.7680305,601.956,8.973333
1/1/1985,1020.3,0.776292,611.535,8.183333
4/1/1985,1033.65,0.7825198,628.929,7.523334
7/1/1985,1055.375,0.7876521,662.257,7.103333
10/1/1985,1071.325,0.7945157,671.391,7.146667
1/1/1986,1089.525,0.7980699,696.905,6.886667
4/1/1986,1096.375,0.8021914,729.495,6.13
7/1/1986,1110.875,0.808453,743.691,5.533333
10/1/1986,1125.45,0.8145401,796.023,5.34
1/1/1987,1141.4,0.8208853,779.555,5.533333
4/1/1987,1161.275,0.8268245,797.965,5.733333
7/1/1987,1180.675,0.8333098,807.165,6.033333
10/1/1987,1209,0.8409557,808.058,6.003334
1/1/1988,1224.525,0.8466458,823.831,5.76
4/1/1988,1250.075,0.8556297,842.671,6.23
7/1/1988,1273.65,0.8666202,844.246,6.993333
10/1/1988,1301.35,0.8744456,840.154,7.703333
1/1/1989,1329.225,0.8845283,839.736,8.533334
4/1/1989,1353.275,0.8938999,843.502,8.44
7/1/1989,1371.75,0.9012812,844.747,7.85
10/1/1989,1384.425,0.908788,852.315,7.633333
1/1/1990,1415.175,0.9200501,863.089,7.756667
4/1/1990,1437.725,0.9318329,875.829,7.766667
7/1/1990,1445.575,0.9414207,882.548,7.493333
10/1/1990,1445.45,0.9511104,887.742,7.023334
1/1/1991,1455.475,0.9626953,900.896,6.053333
4/1/1991,1473.1,0.9699903,914.358,5.593333
7/1/1991,1487.575,0.9770447,940.567,5.406667
10/1/1991,1500.5,0.9830803,959.751,4.583333
1/1/1992,1530.45,0.9912723,1002.641,3.91
4/1/1992,1550.275,0.9978919,1014.978,3.723333
7/1/1992,1567.925,1.001757,1050.911,3.13
10/1/1992,1595.8,1.008867,1089.475,3.076667
1/1/1993,1611.1,1.018411,1098.221,2.993333
4/1/1993,1627.3,1.023475,1135.69,2.983333
7/1/1993,1643.625,1.02831,1168.657,3.02
10/1/1993,1676.025,1.035079,1187.475,3.08
1/1/1994,1698.6,1.041367,1210.237,3.25
4/1/1994,1727.875,1.047149,1211.559,4.036667
7/1/1994,1746.65,1.053865,1210.962,4.51
10/1/1994,1773.95,1.06088,1204.365,5.283333
1/1/1995,1792.25,1.069409,1209.235,5.78
4/1/1995,1802.375,1.074633,1219.42,5.623333
7/1/1995,1825.3,1.080187,1204.52,5.38
10/1/1995,1845.475,1.086133,1197.609,5.27
1/1/1996,1866.875,1.093915,1195.807,4.95
4/1/1996,1901.95,1.098441,1208.025,5.04
7/1/1996,1919.05,1.105475,1218.991,5.136667
10/1/1996,1948.225,1.110511,1202.149,4.97
